name,sell_price,buy_price,buy_orders,sell_orders,profit
ENCHANTED_COBBLESTONE,1190.7,1137.6,1242,203,53.100000000000136
ENCHANTED_NETHERRACK,249.9,166.9,128,148,83
NURSE_SHARK_TOOTH,398.7,350,203,528,48.69999999999999
RAW_FISH,24.4,23,673,442,1.3999999999999986
REFINED_MITHRIL,325911,312000.3,128,175,13910.700000000012
WISE_FRAGMENT,11998.4,11300,92,274,698.3999999999996
ENCHANTED_PUFFERFISH,2473.3,2383.1,182,97,90.20000000000027
SHARK_FIN,98.9,51.4,90,183,47.50000000000001
PRISMARINE_SHARD,5.4,3.5,213,66,1.9000000000000004
LOG_2:1,2.7,1.7,287,32,1.0000000000000002
ENCHANTED_RAW_SALMON,1589.8,1580.8,298,431,9
ICE_BAIT,28.6,20.4,406,139,8.200000000000003
RABBIT_FOOT,18,13.2,470,128,4.800000000000001
STRING,7.9,5.7,689,65,2.2
HUGE_MUSHROOM_1,12.9,6.2,646,65,6.7
PORK,11.8,9.8,442,85,2
SPIDER_EYE,6.4,4.7,389,152,1.7000000000000002
ICE,4.8,3.5,739,141,1.2999999999999998
PRISMARINE_CRYSTALS,4.9,3.5,709,59,1.4000000000000004
DIAMOND,8.4,7.6,460,290,0.8000000000000007
RED_MUSHROOM,17.1,16.4,434,128,0.7000000000000028
ENCHANTED_SUGAR,325.8,313.1,489,308,12.699999999999989
POTATO_ITEM,1.9,1.3,1152,55,0.5999999999999999
COBBLESTONE,7.4,6.9,842,36,0.5
RAW_SOULFLOW,593.8,549.5,2468,308,44.299999999999955
POWER_CRYSTAL,190873.4,171739.9,51,243,19133.5
MUTTON,27.3,20.9,226,119,6.400000000000002
WHEAT,3.5,3.4,719,148,0.10000000000000009
ENCHANTED_GUNPOWDER,1614.5,1407.9,469,118,206.5999999999999
ENCHANTED_GOLDEN_CARROT,31696.1,29135.5,758,257,2560.5999999999985
ENCHANTED_RED_MUSHROOM,3416.7,2841,506,153,575.6999999999998
ENCHANTED_BIRCH_LOG,684.5,602.5,849,60,82
JERRY_BOX_GREEN,59237.1,52402.4,2916,1671,6834.699999999997
ENCHANTED_POTATO,239.7,196.3,1414,431,43.39999999999998
SPOOKY_SHARD,949.2,682.5,86,300,266.70000000000005
ENCHANTED_BROWN_MUSHROOM,1901.6,1738.4,1078,21,163.19999999999982
ENCHANTED_MELON,168.4,153.3,1983,133,15.099999999999994
ENCHANTED_SLIME_BALL,1515.5,1389.5,536,5,126
EXP_BOTTLE,35.4,33,309,241,2.3999999999999986
CACTUS,0.9,0.7,1952,195,0.20000000000000007
INK_SACK:4,5.5,4.1,309,142,1.4000000000000004
CARROT_ITEM,2.3,1.6,1333,126,0.6999999999999997
BROWN_MUSHROOM,13,9,410,99,4
PUMPKIN,4.7,3.7,1178,65,1
SUGAR_CANE,2.1,2,2444,57,0.10000000000000009
INK_SACK:3,3,2.1,712,27,0.8999999999999999
TARANTULA_WEB,0.3,0.2,848,6,0.09999999999999998
